City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
91,Linxia,CN,35.6003,103.2064,289.1,75,92,1.24,overcast clouds,2022-09-14 01:09:45
92,Port Alfred,ZA,-33.5906,26.891,284.92,91,0,4.5,clear sky,2022-09-14 01:09:45
93,Carnarvon,AU,-24.8667,113.6333,291.83,53,54,7.56,broken clouds,2022-09-14 01:09:45
94,Rawson,AR,-43.3002,-65.1023,287.94,44,15,7.25,few clouds,2022-09-14 01:09:46
95,Bethel,US,41.3712,-73.414,296.75,77,0,3.6,clear sky,2022-09-14 01:09:46
96,Severo-Kurilsk,RU,50.6789,156.125,283.78,92,100,8.33,overcast clouds,2022-09-14 01:08:59
97,Bathsheba,BB,13.2167,-59.5167,301.49,74,40,7.2,scattered clouds,2022-09-14 01:09:47
98,Bluff,NZ,-46.6,168.3333,283.04,68,78,5.33,broken clouds,2022-09-14 01:09:48
99,Yarmouth,US,41.7057,-70.2286,297.03,95,100,4.12,overcast clouds,2022-09-14 01:09:48
100,Hauterive,FR,46.0901,3.4459,294.57,95,99,1.89,overcast clouds,2022-09-14 01:09:49
101,Kutulik,RU,53.3508,102.7839,281.23,59,100,2.28,overcast clouds,2022-09-14 01:09:49
102,Victor Harbor,AU,-35.5667,138.6167,289.26,67,100,1.34,light rain,2022-09-14 01:09:49
103,Kodiak,US,57.79,-152.4072,284.88,82,100,2.57,light rain,2022-09-14 01:09:50
104,Kapit,MY,2.0167,112.9333,296.08,99,100,0.36,overcast clouds,2022-09-14 01:09:50
105,Fare,PF,-16.7,-151.0167,299.0,73,100,9.51,overcast clouds,2022-09-14 01:09:51
106,Bekovo,RU,52.4663,43.712,284.91,85,100,5.74,overcast clouds,2022-09-14 01:09:51
107,San Cristobal,VE,7.7669,-72.225,297.25,97,100,0.67,overcast clouds,2022-09-14 01:09:52
108,Havre-Saint-Pierre,CA,50.2334,-63.5986,288.67,88,100,2.72,overcast clouds,2022-09-14 01:08:05
109,Adrar,MR,20.5022,-10.0711,309.8,20,100,3.19,overcast clouds,2022-09-14 01:09:53
110,Kavaratti,IN,10.5669,72.642,300.09,80,40,5.19,scattered clouds,2022-09-14 01:09:53
111,Muravlenko,RU,63.7898,74.523,280.58,85,100,4.67,overcast clouds,2022-09-14 01:09:53
112,Japura,ID,-0.3167,102.35,295.64,97,100,0.92,overcast clouds,2022-09-14 01:09:54
113,Ariano Irpino,IT,41.1489,15.0833,290.35,68,57,1.5,broken clouds,2022-09-14 01:09:54
114,Hermanus,ZA,-34.4187,19.2345,285.54,83,0,5.22,clear sky,2022-09-14 01:09:55
115,Nikolskoye,RU,59.7035,30.7861,285.86,74,100,3.03,overcast clouds,2022-09-14 01:09:55
116,Harrisburg,US,40.2737,-76.8844,294.44,69,75,3.6,broken clouds,2022-09-14 01:06:12
117,Guerrero Negro,MX,27.9769,-114.0611,297.53,69,0,6.0,clear sky,2022-09-14 01:09:56
118,Yatou,CN,37.15,122.3833,292.89,97,100,9.48,heavy intensity rain,2022-09-14 01:09:57
119,Morros,BR,-9.4467,-46.3003,300.36,27,62,1.03,broken clouds,2022-09-14 01:09:57
120,Bestobe,KZ,52.4994,73.0975,280.67,58,8,1.01,clear sky,2022-09-14 01:09:57
121,San Ramon,US,37.7799,-121.978,295.73,67,0,7.72,clear sky,2022-09-14 01:06:30
122,Chokurdakh,RU,70.6333,147.9167,279.64,53,84,4.61,broken clouds,2022-09-14 01:09:58
123,Husavik,IS,66.0449,-17.3389,279.6,91,100,6.15,overcast clouds,2022-09-14 01:09:59
124,Lompoc,US,34.6391,-120.4579,299.58,70,0,7.2,clear sky,2022-09-14 01:09:59
125,Belmonte,BR,-15.8631,-38.8828,294.68,83,0,3.42,clear sky,2022-09-14 01:10:00
126,Coihaique,CL,-45.5752,-72.0662,281.12,76,100,3.09,light rain,2022-09-14 01:05:41
127,Iqaluit,CA,63.7506,-68.5145,279.65,75,100,4.02,overcast clouds,2022-09-14 01:06:19
128,Barrow,US,71.2906,-156.7887,275.16,93,100,11.32,overcast clouds,2022-09-14 01:10:01
129,Datong,CN,40.0936,113.2914,291.93,59,0,1.99,clear sky,2022-09-14 01:10:01
130,Abilene,US,32.4487,-99.7331,304.42,33,0,4.12,clear sky,2022-09-14 01:10:02
131,Lebu,CL,-37.6167,-73.65,282.41,84,86,1.05,overcast clouds,2022-09-14 01:10:02
132,Llodio,ES,43.1432,-2.962,297.53,54,0,2.57,clear sky,2022-09-14 01:10:03
133,Shimoda,JP,34.6667,138.95,299.87,75,73,5.96,broken clouds,2022-09-14 01:10:04
134,Khromtau,KZ,50.2503,58.4347,284.64,42,13,2.61,few clouds,2022-09-14 01:10:04
135,Kyren,RU,51.6828,102.1408,279.86,97,100,0.98,moderate rain,2022-09-14 01:10:05
136,Upernavik,GL,72.7868,-56.1549,278.97,85,100,2.43,overcast clouds,2022-09-14 01:10:04
137,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,298.13,75,11,0.1,few clouds,2022-09-14 01:10:06
138,Brae,GB,60.3964,-1.353,284.9,81,100,5.79,light rain,2022-09-14 01:10:06
139,Khatanga,RU,71.9667,102.5,274.17,99,100,3.65,light snow,2022-09-14 01:10:07
140,Am Timan,TD,11.0297,20.2827,295.18,93,99,2.0,overcast clouds,2022-09-14 01:10:07
141,Pevek,RU,69.7008,170.3133,274.25,99,100,2.5,overcast clouds,2022-09-14 01:10:08
142,Port Hardy,CA,50.6996,-127.4199,287.66,81,19,3.37,few clouds,2022-09-14 01:10:09
143,Casablanca,MA,33.5928,-7.6192,296.11,78,9,1.79,clear sky,2022-09-14 01:10:09
144,Numaligarh,IN,26.6333,93.75,298.06,90,100,0.67,overcast clouds,2022-09-14 01:10:10
145,Soe,ID,-9.8607,124.284,300.53,36,14,3.73,few clouds,2022-09-14 01:10:11
146,Paraiso,CR,9.8383,-83.8656,293.08,100,100,0.87,overcast clouds,2022-09-14 01:10:12
