City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
504,Darhan,MN,55.56,overcast clouds,49.4867,105.9228,Buudai Hotel
505,Hobyo,SO,76.46,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
506,Mayo,US,74.28,few clouds,38.8876,-76.5119,Resorts Resource Group International
507,Birao,CF,68.11,overcast clouds,10.2849,22.7882,
508,Saint Anthony,US,68.79,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
509,San Felipe,VE,71.35,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
510,Lata,PT,65.07,overcast clouds,40.1629,-8.3327,Casa Maquia
511,Mountain Home,US,65.68,scattered clouds,43.133,-115.6912,Mountain Home Inn
512,Acapulco,MX,80.42,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
513,Dera Bugti,PK,87.75,clear sky,29.0307,69.151,Nawab Bugti House
515,Payo,ID,81.32,overcast clouds,-3.7508,103.6372,Mess keban agung
517,Salalah,OM,78.89,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
518,Anahuac,MX,86.85,broken clouds,27.2333,-100.15,HOTEL SAN FELIPE
520,Gorontalo,ID,87.28,broken clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
521,Beitbridge,ZW,63.12,overcast clouds,-22.2167,30.0,Beitbridge Express Hotel
522,Arman,RU,55.02,overcast clouds,59.7,150.1667,
523,Karia,NG,73.38,overcast clouds,11.7306,11.1629,Kasakchiya Luxury Suites
524,Papar,MY,86.0,scattered clouds,5.7333,115.9333,Koposizon Homestay
525,Touros,BR,74.98,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
526,Kahului,US,84.22,broken clouds,20.8947,-156.47,Maui Seaside Hotel
527,Courtenay,CA,67.98,few clouds,49.6866,-124.9936,Bayview Hotel
528,Agadir,MA,70.25,clear sky,30.4202,-9.5982,Iberostar Founty Beach
529,Acari,PE,62.91,broken clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
530,Mumford,GH,73.98,broken clouds,5.2618,-0.759,Spanish Villa
534,Lazaro Cardenas,MX,78.62,scattered clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
535,Egra,CZ,60.71,light rain,50.0796,12.3739,Hotel Barbarossa
537,Dafeng,CN,83.62,broken clouds,23.4517,108.5881,Shenglong Hotel
538,Arica,CL,59.23,overcast clouds,-18.475,-70.3042,Hostal Jardin Del Sol
539,Vila Franca Do Campo,PT,77.2,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
540,Taltal,CL,57.27,clear sky,-25.4,-70.4833,Residencial Karime
541,Aitape,PG,87.96,broken clouds,-3.1374,142.3475,
543,Umm Kaddadah,SD,82.26,overcast clouds,13.6017,26.6876,
544,Kalmunai,LK,81.55,overcast clouds,7.4167,81.8167,VS Villa
545,Adolfo Lopez Mateos,MX,56.93,overcast clouds,28.4667,-107.3,Hotel Victor Inn
546,Corrente,BR,72.5,scattered clouds,-3.7367,-43.3394,Chapadinhense Hotel
547,Terney,RU,64.44,clear sky,45.0503,136.6092,"Hotel ""Ternay"""
548,Xingyi,CN,66.25,overcast clouds,24.1877,102.817,
549,Chuguyevka,RU,67.28,overcast clouds,44.1653,133.8633,Svet V Okne
553,Buzmeyin,TM,58.73,clear sky,38.0507,58.2056,
554,Pemberton,CA,64.0,light rain,50.3164,-122.8027,Pemberton Valley Lodge
555,Juegang,CN,73.98,light rain,32.3174,121.1855,Rudong Y Hotel
557,Hervey Bay,AU,74.01,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
558,Caribou,US,66.63,overcast clouds,46.8606,-68.012,Crown Park Inn Caribou
559,Groningen,NL,58.01,scattered clouds,53.25,6.75,Bed&Breakfast Lageland
560,Mahibadhoo,MV,80.2,few clouds,3.7833,72.9667,Omadhoo Inn
561,Biak,ID,78.15,light rain,-0.9131,122.8766,Penginapan Kim
562,Shelburne,CA,57.65,clear sky,44.0787,-80.2041,The Retreat at the Farm
563,Iwanai,JP,64.2,overcast clouds,42.9744,140.5089,いわない高原ホテル
564,Kigoma,TZ,74.7,light rain,-4.8769,29.6267,MJI Mwema Lodge
565,Tiarei,PF,82.42,overcast clouds,-17.5333,-149.3333,Le Rocher de Tahiti
566,Xinpu,CN,72.52,light rain,34.5997,119.1594,Pattaya Leisure Hotel
568,Panguna,PG,74.44,light rain,-6.3164,155.4848,
569,Olga,RU,64.81,overcast clouds,43.7444,135.2892,Gostinitsa Rosmorport.
571,Ulaanbaatar,MN,60.93,scattered clouds,47.9077,106.8832,The Blue Sky Hotel and Tower
572,Saint-Joseph,RE,64.78,overcast clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
573,Candido De Abreu,BR,63.75,overcast clouds,-24.5669,-51.3333,Hotel Recanto
574,Berga,NO,55.08,light rain,60.392,5.328,Clarion Collection Hotel Havnekontoret
575,Menongue,AO,60.91,broken clouds,-14.6585,17.691,Ritz Lauca
576,Hualmay,PE,60.24,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
577,Luanda,AO,71.85,scattered clouds,-8.8368,13.2343,EPIC SANA Luanda
578,Mayumba,GA,73.47,overcast clouds,-3.432,10.6554,LIKWALE LODGE
579,West Wendover,US,63.61,overcast clouds,40.7391,-114.0733,"Motel 6 Wendover, UT"
580,Santa Cruz,BO,65.66,light rain,-17.8,-63.1667,Aviador Hotel Boutique
581,Poum,NC,75.0,clear sky,-20.2333,164.0167,
582,Rupert,US,58.95,clear sky,42.6191,-113.6772,Uptown Motel
584,East Stroudsburg,US,66.97,few clouds,40.9995,-75.1813,Hampton Inn Stroudsburg/Poconos
585,Neiafu,TO,77.68,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
586,Maraa,BR,72.72,scattered clouds,-1.8333,-65.3667,
