City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
161,Zastron,ZA,-30.3023,27.084,47.28,33,0,5.1,clear sky,2022-09-14 02:32:33
162,College,US,64.8569,-147.8028,64.35,53,75,4.61,broken clouds,2022-09-14 02:32:34
163,Tekeli,KZ,44.83,78.8239,59.38,39,89,3.89,overcast clouds,2022-09-14 02:32:34
164,Ciudad Bolivar,VE,8.1222,-63.5497,80.64,72,58,10.65,broken clouds,2022-09-14 02:32:34
165,Tautira,PF,-17.7333,-149.15,77.52,73,100,19.39,overcast clouds,2022-09-14 02:32:35
166,Asau,RO,46.4333,26.4,46.15,93,53,6.31,broken clouds,2022-09-14 02:32:35
167,Soyaux,FR,45.65,0.2,70.68,80,0,3.44,clear sky,2022-09-14 02:32:36
168,Mehamn,NO,71.0357,27.8492,40.91,87,75,4.61,broken clouds,2022-09-14 02:32:36
169,Faya,SA,18.3851,42.4509,66.31,47,100,1.3,overcast clouds,2022-09-14 02:28:26
170,Geraldton,AU,-28.7667,114.6,64.81,63,100,9.22,overcast clouds,2022-09-14 02:31:13
171,Thompson,CA,55.7435,-97.8558,44.76,81,40,0.0,scattered clouds,2022-09-14 02:32:37
172,Berlevag,NO,70.8578,29.0864,40.95,70,75,11.5,broken clouds,2022-09-14 02:28:24
173,Tuktoyaktuk,CA,69.4541,-133.0374,37.4,87,100,12.66,overcast clouds,2022-09-14 02:32:37
174,Samarai,PG,-10.6167,150.6667,80.83,81,30,11.7,scattered clouds,2022-09-14 02:32:38
175,Bayan,CN,46.0833,127.4,68.65,58,27,7.02,scattered clouds,2022-09-14 02:32:38
176,Longyearbyen,SJ,78.2186,15.6401,35.44,75,75,3.44,broken clouds,2022-09-14 02:32:38
177,Vostok,RU,46.4856,135.8833,64.02,37,0,3.58,clear sky,2022-09-14 02:32:39
178,Saskylakh,RU,71.9167,114.0833,37.94,70,69,9.17,broken clouds,2022-09-14 02:32:39
179,Talnakh,RU,69.4865,88.3972,34.21,88,98,10.47,light snow,2022-09-14 02:32:39
180,Scarborough,GB,54.2797,-0.4044,52.92,89,0,5.23,clear sky,2022-09-14 02:28:45
181,Cururupu,BR,-1.8283,-44.8683,75.51,87,5,4.25,clear sky,2022-09-14 02:32:40
182,Lodja,CD,-3.4833,23.4333,68.74,98,97,2.44,overcast clouds,2022-09-14 02:32:41
183,Okoneshnikovo,RU,54.8377,75.0834,49.37,50,50,3.0,scattered clouds,2022-09-14 02:32:41
184,Tura,IN,25.5198,90.2201,77.32,84,99,5.44,overcast clouds,2022-09-14 02:32:41
185,Castro,BR,-24.7911,-50.0119,58.84,98,100,3.85,overcast clouds,2022-09-14 02:32:42
186,Katsuura,JP,35.1333,140.3,82.0,76,65,15.61,broken clouds,2022-09-14 02:32:42
187,Bandar-E Lengeh,IR,26.5579,54.8807,87.91,79,2,9.22,mist,2022-09-14 02:32:43
188,Orodara,BF,10.9492,-4.9342,68.49,97,25,2.53,scattered clouds,2022-09-14 02:32:43
189,La Palma,US,33.8464,-118.0467,80.96,73,20,6.91,few clouds,2022-09-14 02:32:18
190,Torbay,CA,47.6666,-52.7314,57.27,97,100,18.41,light intensity drizzle,2022-09-14 02:29:45
191,Zhangjiakou,CN,40.81,114.8794,73.83,54,0,2.93,clear sky,2022-09-14 02:32:44
192,Plastun,RU,44.7561,136.2939,65.25,59,8,7.07,clear sky,2022-09-14 02:32:09
193,Boguchany,RU,58.3814,97.4531,50.23,57,43,1.63,scattered clouds,2022-09-14 02:32:44
194,Ola,RU,59.5833,151.2833,55.15,53,100,7.47,overcast clouds,2022-09-14 02:32:45
195,Te Anau,NZ,-45.4167,167.7167,45.07,75,47,0.81,scattered clouds,2022-09-14 02:32:45
196,Itaituba,BR,-4.2761,-55.9836,75.4,76,21,0.78,few clouds,2022-09-14 02:32:45
197,Cabinda,AO,-5.55,12.2,72.36,87,92,4.59,overcast clouds,2022-09-14 02:32:46
198,Pokhara,NP,28.2333,83.9833,71.74,92,68,1.01,broken clouds,2022-09-14 02:29:12
199,Springbok,ZA,-29.6643,17.8865,55.31,14,1,10.65,clear sky,2022-09-14 02:32:46
200,Mus,TR,39.0,41.75,56.97,59,84,3.0,broken clouds,2022-09-14 02:32:47
201,Saint-Philippe,RE,-21.3585,55.7679,65.79,72,98,1.79,overcast clouds,2022-09-14 02:32:47
202,El Prat De Llobregat,ES,41.3278,2.0947,78.66,69,75,18.41,thunderstorm with rain,2022-09-14 02:32:47
203,Saint George,US,37.1041,-113.5841,74.62,64,0,4.61,clear sky,2022-09-14 02:31:03
204,Slyudyanka,RU,51.6594,103.7061,46.63,94,100,1.57,overcast clouds,2022-09-14 02:32:48
205,Noumea,NC,-22.2763,166.4572,77.0,99,54,7.07,broken clouds,2022-09-14 02:32:48
206,Krasnoye-Na-Volge,RU,57.5125,41.2419,48.79,85,100,14.12,overcast clouds,2022-09-14 02:32:49
207,Altay,CN,47.8667,88.1167,59.14,27,100,3.09,overcast clouds,2022-09-14 02:32:49
208,Leningradskiy,RU,69.3833,178.4167,35.56,99,100,5.48,light rain,2022-09-14 02:32:49
209,Lagoa,PT,39.05,-27.9833,73.9,89,25,12.91,scattered clouds,2022-09-14 02:32:50
210,Ostrovnoy,RU,68.0531,39.5131,47.7,84,100,20.74,overcast clouds,2022-09-14 02:32:50
211,Muroto,JP,33.2833,134.15,82.6,78,100,16.89,overcast clouds,2022-09-14 02:32:51
212,Pacific Grove,US,36.6177,-121.9166,69.89,82,0,10.36,clear sky,2022-09-14 02:32:51
213,Nyurba,RU,63.2842,118.3319,46.09,66,46,12.15,scattered clouds,2022-09-14 02:32:51
214,Abha,SA,18.2164,42.5053,66.02,27,0,0.0,clear sky,2022-09-14 02:28:57
215,Bonthe,SL,7.5264,-12.505,76.01,86,99,6.35,overcast clouds,2022-09-14 02:32:52
216,Xuddur,SO,4.1213,43.8894,69.58,80,94,15.7,overcast clouds,2022-09-14 02:32:52
217,Nautla,MX,20.2167,-96.7833,78.15,79,34,3.38,scattered clouds,2022-09-14 02:32:53
218,Prince Rupert,CA,54.3161,-130.3201,57.29,84,0,9.22,clear sky,2022-09-14 02:32:53
219,Ballina,AU,-28.8667,153.5667,69.78,69,34,10.76,scattered clouds,2022-09-14 02:32:54
220,Luderitz,NA,-26.6481,15.1594,68.79,27,0,3.51,clear sky,2022-09-14 02:32:54
221,Hasaki,JP,35.7333,140.8333,88.29,80,84,16.42,broken clouds,2022-09-14 02:32:54
222,Forio,IT,40.7342,13.8646,72.52,59,5,2.75,clear sky,2022-09-14 02:32:55
223,Craig,US,40.5153,-107.5464,62.55,59,100,6.91,overcast clouds,2022-09-14 02:30:33
224,Bhinmal,IN,25.0,72.25,85.32,67,100,8.63,overcast clouds,2022-09-14 02:32:55
225,Esperance,AU,-33.8667,121.9,58.84,58,97,29.24,overcast clouds,2022-09-14 02:32:56
226,Buraydah,SA,26.326,43.975,82.85,13,0,5.35,clear sky,2022-09-14 02:28:54
227,Lepe,ES,37.2548,-7.2043,69.12,91,0,8.34,clear sky,2022-09-14 02:32:56
228,West Lafayette,US,40.4259,-86.9081,66.58,91,20,0.0,few clouds,2022-09-14 02:32:57
229,Pangnirtung,CA,66.1451,-65.7125,41.67,99,100,7.76,moderate rain,2022-09-14 02:32:57
230,Linares,CL,-35.85,-71.6,47.17,92,0,3.51,clear sky,2022-09-14 02:32:57
231,Mattru,SL,7.6244,-11.8332,72.82,97,100,2.64,overcast clouds,2022-09-14 02:32:58
232,Moa,CU,20.6569,-74.9403,78.82,84,19,3.42,few clouds,2022-09-14 02:32:58
233,Fairbanks,US,64.8378,-147.7164,64.36,54,75,4.61,broken clouds,2022-09-14 02:30:02
234,Mount Gambier,AU,-37.8333,140.7667,55.31,58,100,25.32,overcast clouds,2022-09-14 02:32:59
235,Schertz,US,29.5522,-98.2697,82.26,64,0,9.22,clear sky,2022-09-14 02:30:30
236,Mocajuba,BR,-2.5842,-49.5072,74.88,91,30,4.12,scattered clouds,2022-09-14 02:32:59
237,Hokitika,NZ,-42.7167,170.9667,53.44,36,0,3.74,clear sky,2022-09-14 02:33:00
238,Bayangol,RU,50.6977,103.4656,49.15,61,100,5.28,moderate rain,2022-09-14 02:33:00
239,Tamiahua,MX,21.2667,-97.45,78.22,80,61,6.67,broken clouds,2022-09-14 02:33:00
240,Butaritari,KI,3.0707,172.7902,81.05,74,6,8.61,light rain,2022-09-14 02:33:01
241,Hilo,US,19.7297,-155.09,83.28,79,0,10.36,clear sky,2022-09-14 02:33:01
242,Ambilobe,MG,-13.2,49.05,66.83,82,87,3.96,overcast clouds,2022-09-14 02:33:02
243,Kruisfontein,ZA,-34.0033,24.7314,50.43,85,0,5.3,clear sky,2022-09-14 02:33:02
244,Nouakchott,MR,18.0858,-15.9785,82.33,81,13,13.56,few clouds,2022-09-14 02:33:03
245,Araouane,ML,18.9048,-3.5265,95.59,21,39,9.78,scattered clouds,2022-09-14 02:33:03
246,Ankpa,NG,7.3706,7.6253,69.84,98,98,2.08,overcast clouds,2022-09-14 02:33:03
247,Saldanha,ZA,-33.0117,17.9442,55.45,55,0,6.17,clear sky,2022-09-14 02:33:04
248,Urucara,BR,-2.5364,-57.76,75.81,74,15,1.03,few clouds,2022-09-14 02:33:04
249,Chifeng,CN,42.2683,118.9636,75.42,40,1,5.61,clear sky,2022-09-14 02:32:51
250,Singarayakonda,IN,15.25,80.0333,86.52,55,74,14.79,broken clouds,2022-09-14 02:33:05
251,Viedma,AR,-40.8135,-62.9967,44.69,88,0,12.35,clear sky,2022-09-14 02:33:05
252,Jacareacanga,BR,-6.2222,-57.7528,75.33,69,2,1.97,clear sky,2022-09-14 02:33:06
253,Tantoyuca,MX,21.35,-98.2333,73.22,90,25,4.23,scattered clouds,2022-09-14 02:33:06
254,Ponta Delgada,PT,37.7333,-25.6667,77.5,94,75,5.75,light rain,2022-09-14 02:33:06
255,Puerto Carreno,CO,6.189,-67.4859,78.96,83,100,3.42,heavy intensity rain,2022-09-14 02:29:19
256,Udachnyy,RU,66.4167,112.4,41.45,64,58,16.4,broken clouds,2022-09-14 02:33:07
257,Sistranda,NO,63.7256,8.834,51.76,84,100,24.79,light rain,2022-09-14 02:33:07
258,Guadalupe Y Calvo,MX,26.1,-106.9667,54.52,92,100,3.2,overcast clouds,2022-09-14 02:33:08
259,Batesville,US,35.7698,-91.641,71.24,75,0,0.0,clear sky,2022-09-14 02:30:17
260,Sibu,MY,2.3,111.8167,75.51,94,40,5.01,scattered clouds,2022-09-14 02:33:08
261,Kaeo,NZ,-35.1,173.7833,64.33,67,81,2.24,broken clouds,2022-09-14 02:33:09
262,Sao Filipe,CV,14.8961,-24.4956,78.48,84,62,4.88,broken clouds,2022-09-14 02:33:09
263,Ruwi,OM,23.5996,58.5507,83.89,59,5,1.3,clear sky,2022-09-14 02:33:10
264,Carbondale,US,37.7273,-89.2168,63.05,90,0,0.0,clear sky,2022-09-14 02:32:16
265,Castrillon,ES,43.3979,-6.7922,60.96,91,95,4.9,overcast clouds,2022-09-14 02:33:10
266,Manta,EC,-0.95,-80.7333,67.78,83,100,10.36,overcast clouds,2022-09-14 02:33:11
267,Teahupoo,PF,-17.8333,-149.2667,76.96,74,100,19.48,overcast clouds,2022-09-14 02:33:11
268,Graaff-Reinet,ZA,-32.2522,24.5308,52.34,52,0,3.74,clear sky,2022-09-14 02:33:12
269,Calabar,NG,4.9517,8.322,73.18,97,99,1.9,overcast clouds,2022-09-14 02:33:12
270,Salinopolis,BR,-0.6136,-47.3561,78.26,87,9,9.33,clear sky,2022-09-14 02:33:12
271,Champerico,GT,14.3,-91.9167,78.94,85,100,6.06,overcast clouds,2022-09-14 02:33:13
272,Marsabit,KE,2.3284,37.9899,59.52,78,100,14.43,overcast clouds,2022-09-14 02:33:13
273,Pangai,TO,-19.8,-174.35,82.51,61,20,13.8,few clouds,2022-09-14 02:33:14
274,Yulara,AU,-25.2406,130.9889,79.99,31,57,10.2,broken clouds,2022-09-14 02:33:14
275,Bima,ID,-8.4667,118.7167,91.72,47,32,7.65,scattered clouds,2022-09-14 02:33:15
276,Buala,SB,-8.145,159.5921,85.78,66,92,6.06,light rain,2022-09-14 02:33:15
277,Dunedin,NZ,-45.8742,170.5036,48.79,66,72,3.0,broken clouds,2022-09-14 02:33:15
278,Alofi,NU,-19.0595,-169.9187,80.49,65,75,13.8,broken clouds,2022-09-14 02:33:16
279,Casma,CL,-41.0082,-73.1244,51.4,86,100,5.59,overcast clouds,2022-09-14 02:33:16
280,Waipawa,NZ,-41.4122,175.5153,43.72,76,100,10.07,overcast clouds,2022-09-14 02:33:16
281,Fort Nelson,CA,58.8053,-122.7002,62.19,48,20,0.0,few clouds,2022-09-14 02:33:17
282,Dukat,RU,62.55,155.55,33.71,75,100,2.95,overcast clouds,2022-09-14 02:33:17
283,Chapais,CA,49.7834,-74.8492,58.78,98,100,4.09,overcast clouds,2022-09-14 02:33:18
284,Riyadh,SA,24.6877,46.7219,80.74,15,6,6.35,clear sky,2022-09-14 02:30:34
285,Tilichiki,RU,60.4667,166.1,45.39,72,77,1.79,broken clouds,2022-09-14 02:33:18
286,Pacocha,PE,-17.5833,-71.3333,58.28,82,38,6.8,scattered clouds,2022-09-14 02:33:19
287,San Jeronimo,PE,-11.9472,-75.2829,54.27,69,100,0.76,overcast clouds,2022-09-14 02:33:19
288,Manono,CD,-7.3,27.4167,70.11,85,98,2.06,overcast clouds,2022-09-14 02:33:20
289,Takanabe,JP,32.1333,131.5,87.69,90,28,11.34,scattered clouds,2022-09-14 02:33:20
290,Hithadhoo,MV,-0.6,73.0833,81.39,70,0,5.75,clear sky,2022-09-14 02:31:13
291,Grand Gaube,MU,-20.0064,57.6608,69.39,74,88,11.07,overcast clouds,2022-09-14 02:33:21
292,Roma,US,43.2128,-75.4557,60.82,95,19,4.0,few clouds,2022-09-14 02:33:19
293,Hamadan,IR,34.7992,48.5146,52.68,37,0,2.3,clear sky,2022-09-14 02:33:21
294,Abnub,EG,27.2696,31.1511,75.42,56,0,5.91,clear sky,2022-09-14 02:33:22
295,Manadhoo,MV,5.7667,73.3833,80.47,75,86,4.21,overcast clouds,2022-09-14 02:33:22
296,Tyukhtet,RU,56.5389,89.3011,46.8,58,20,3.56,few clouds,2022-09-14 02:33:23
297,Bayshore Gardens,US,27.4253,-82.5904,82.38,79,0,3.44,clear sky,2022-09-14 02:33:23
298,Vao,NC,-22.6667,167.4833,72.1,72,65,11.03,broken clouds,2022-09-14 02:33:23
299,Mormugao,IN,15.4,73.8,79.75,85,100,14.2,overcast clouds,2022-09-14 02:33:24
300,Kharp,RU,66.8014,65.8081,43.74,89,100,7.18,overcast clouds,2022-09-14 02:33:12
301,Kutum,SD,14.2,24.6667,74.07,65,97,10.04,overcast clouds,2022-09-14 02:33:24
302,Parana,AR,-31.732,-60.5238,59.58,61,69,5.64,broken clouds,2022-09-14 02:32:26
303,Bethanien,NA,-26.502,17.1583,58.48,10,1,5.06,clear sky,2022-09-14 02:33:25
304,Male,MV,4.1748,73.5089,82.35,83,20,5.75,few clouds,2022-09-14 02:33:25
305,Santarem,BR,-2.4431,-54.7083,75.33,100,0,2.3,clear sky,2022-09-14 02:33:26
306,Terrace Bay,CA,48.7834,-87.1,48.31,76,1,8.1,clear sky,2022-09-14 02:33:26
307,Balaguer,ES,41.7912,0.8109,65.88,93,100,3.31,overcast clouds,2022-09-14 02:33:26
308,Preobrazheniye,RU,42.9019,133.9064,63.48,71,100,8.97,overcast clouds,2022-09-14 02:33:27
309,Tezu,IN,27.9167,96.1667,76.66,94,100,0.6,overcast clouds,2022-09-14 02:33:27
310,Camacha,PT,33.0833,-16.3333,69.22,83,20,9.22,few clouds,2022-09-14 02:33:28
311,Vila,PT,42.0304,-8.1588,56.28,94,100,4.47,overcast clouds,2022-09-14 02:33:28
312,Katangli,RU,51.7102,143.2326,58.68,43,82,10.2,broken clouds,2022-09-14 02:33:28
313,Banjar,ID,-8.19,114.9675,88.9,49,30,1.05,scattered clouds,2022-09-14 02:33:29
314,Nusaybin,TR,37.0778,41.2178,72.36,58,0,5.91,clear sky,2022-09-14 02:33:29
315,Maniitsoq,GL,65.4167,-52.9,44.55,80,100,15.86,overcast clouds,2022-09-14 02:33:30
316,Aklavik,CA,68.2191,-135.0107,42.15,92,100,9.37,light rain,2022-09-14 02:29:37
317,Margate,GB,51.3813,1.3862,61.3,95,100,4.0,light rain,2022-09-14 02:33:30
318,Yerbogachen,RU,61.2767,108.0108,46.63,63,26,11.83,scattered clouds,2022-09-14 02:33:31
319,Bristol,US,41.8334,-71.1662,73.62,85,9,3.0,clear sky,2022-09-14 02:28:34
320,Jinchang,CN,38.4953,102.1739,73.45,43,8,11.03,clear sky,2022-09-14 02:33:31
321,Crailsheim,DE,49.1344,10.0719,65.28,88,100,5.3,heavy intensity rain,2022-09-14 02:33:32
322,Birjand,IR,32.8663,59.2211,52.27,19,0,6.91,clear sky,2022-09-14 02:33:32
323,Port Hedland,AU,-20.3167,118.5667,84.25,39,0,12.66,clear sky,2022-09-14 02:33:33
324,Vrangel,RU,42.7297,133.0839,64.53,70,100,11.21,overcast clouds,2022-09-14 02:33:33
325,Kuito,AO,-12.3833,16.9333,58.64,42,76,2.44,broken clouds,2022-09-14 02:33:33
326,Isangel,VU,-19.55,169.2667,81.03,66,96,4.34,overcast clouds,2022-09-14 02:29:40
327,Beachwood,US,41.4645,-81.5087,62.11,86,0,11.5,clear sky,2022-09-14 02:33:34
328,Hami,CN,42.8,93.45,71.94,15,0,4.36,clear sky,2022-09-14 02:33:34
329,Mezen,RU,65.8522,44.24,47.26,88,99,7.56,overcast clouds,2022-09-14 02:33:35
330,Olavarria,AR,-36.8927,-60.3225,51.03,75,0,7.52,clear sky,2022-09-14 02:31:09
331,Qasigiannguit,GL,68.8193,-51.1922,43.05,79,100,9.19,overcast clouds,2022-09-14 02:33:35
332,Victoria,HK,22.2855,114.1577,94.24,45,38,4.0,scattered clouds,2022-09-14 02:29:57
333,Kungurtug,RU,50.5994,97.5228,47.98,80,100,1.97,overcast clouds,2022-09-14 02:33:36
334,Ginir,ET,7.1333,40.7,57.97,84,100,6.78,overcast clouds,2022-09-14 02:33:36
335,Dandong,CN,40.1292,124.3947,70.79,81,100,3.15,light rain,2022-09-14 02:33:37
336,Goma,CD,-1.6792,29.2228,63.75,86,98,3.44,light rain,2022-09-14 02:33:37
337,Maralal,KE,1.0968,36.698,59.18,83,100,2.35,overcast clouds,2022-09-14 02:33:37
338,Yaan,NG,7.3833,8.5667,69.84,93,95,2.46,overcast clouds,2022-09-14 02:33:38
339,Barahona,DO,18.2085,-71.1008,79.65,80,100,2.39,overcast clouds,2022-09-14 02:33:38
340,Klaksvik,FO,62.2266,-6.589,49.12,83,95,15.55,light rain,2022-09-14 02:33:39
341,Narasannapeta,IN,18.4167,84.05,84.18,77,74,13.76,broken clouds,2022-09-14 02:33:39
342,Icatu,BR,-2.7758,-44.0658,82.83,82,3,8.23,clear sky,2022-09-14 02:33:39
343,Laguna,US,38.421,-121.4238,73.38,57,0,12.66,clear sky,2022-09-14 02:33:40
344,Hovd,MN,48.0056,91.6419,54.86,33,3,3.04,clear sky,2022-09-14 02:33:40
345,Port Macquarie,AU,-31.4333,152.9167,66.88,61,34,6.35,scattered clouds,2022-09-14 02:30:07
346,Praia Da Vitoria,PT,38.7333,-27.0667,75.45,94,75,5.32,broken clouds,2022-09-14 02:33:41
347,Nyrob,RU,60.733,56.7202,42.87,93,98,4.07,overcast clouds,2022-09-14 02:33:41
348,High Prairie,CA,55.4334,-116.4858,53.17,58,0,3.15,clear sky,2022-09-14 02:33:42
349,Malanje,AO,-9.5402,16.341,63.39,88,78,5.88,broken clouds,2022-09-14 02:33:42
350,Hambantota,LK,6.1241,81.1185,80.94,94,40,8.05,scattered clouds,2022-09-14 02:33:42
351,Tignere,CM,7.3667,12.65,61.66,93,99,0.72,overcast clouds,2022-09-14 02:33:43
352,Santa Luzia,BR,-19.7697,-43.8514,72.5,60,0,0.0,clear sky,2022-09-14 02:33:43
353,Rio Gallegos,AR,-51.6226,-69.2181,39.25,65,0,17.27,clear sky,2022-09-14 02:33:44
354,Naze,JP,28.3667,129.4833,86.92,84,32,18.92,scattered clouds,2022-09-14 02:33:44
355,Amapa,BR,1.0,-52.0,74.86,83,39,5.08,scattered clouds,2022-09-14 02:33:44
356,Broken Hill,AU,-31.95,141.4333,69.57,35,100,24.58,overcast clouds,2022-09-14 02:33:45
357,Nouadhibou,MR,20.931,-17.0347,71.58,88,11,9.22,few clouds,2022-09-14 02:33:45
358,Vestmannaeyjar,IS,63.4427,-20.2734,47.28,73,0,17.76,clear sky,2022-09-14 02:33:46
